size,count
1.4,960
2.8,812
5.7,851
11.3,738
22.6,672
45.3,682
90.5,786
181.0,1026
362.0,1276
724.1,1165
1448.2,862
2896.3,478
5792.6,316
11585.2,195
23170.5,134
46341.0,44
92681.9,10
185363.8,1
